Source,Destination IP,Packet Length
Echo plus 2nd gen,52.216.163.179,1079
Echo plus 2nd gen,52.216.12.60,1079
Echo plus 2nd gen,52.217.43.28,1079
Echo plus 2nd gen,52.216.238.11,1079
Motog Phone,52.5.130.242,27309
Echo plus 2nd gen,52.216.82.192,1079
Echo plus 2nd gen,52.216.204.83,2158
Echo plus 2nd gen,52.216.95.11,1079
Echo plus 2nd gen,52.217.41.148,1079
Echo plus 2nd gen,52.216.81.64,1079
Echo plus 2nd gen,52.216.138.67,1079
Echo plus 2nd gen,52.216.187.35,1079
Echo plus 2nd gen,52.216.98.51,1079
Echo plus 2nd gen,52.216.133.147,1079
Echo plus 2nd gen,52.216.143.44,1079
Echo plus 2nd gen,52.216.106.180,1079
Ring Door bell,3.230.243.51,290554
Google onHub,3.230.243.51,278682
Echo plus 2nd gen,52.216.26.92,1079
Echo plus 2nd gen,52.216.66.32,1079
Echo plus 2nd gen,52.216.26.204,1079
Echo plus 2nd gen,52.216.108.155,1079
Echo plus 2nd gen,52.216.162.131,1079
Echo plus 2nd gen,52.217.32.228,1079
Echo plus 2nd gen,52.217.46.180,2187
Echo plus 2nd gen,52.216.88.99,1079
Echo plus 2nd gen,52.216.84.155,1079
Echo plus 2nd gen,52.216.97.91,1079
Ring Door bell,3.224.97.29,32048
Google onHub,3.224.97.29,31960
Ring Door bell,3.233.84.204,2810764
Google onHub,3.233.84.204,2810872
Motog Phone,99.84.181.88,2154
Desktop (server),45.55.41.223,568
Ring Door bell,3.233.93.37,4235643
Google onHub,3.233.93.37,4235755
Motog Phone,151.101.201.208,5815
Motog Phone,34.218.177.200,73188
Ring Door bell,3.233.88.66,4119395
Google onHub,3.233.88.66,4119505
Motog Phone,192.168.1.249,296
Motog Phone,192.168.1.163,148
Samsung Smartthings hub2,192.168.1.154,120
Motog Phone,192.168.1.142,148
Desktop (server),192.168.1.154,408
Motog Phone,192.168.1.135,148
Motog Phone,192.168.1.134,116820
Motog Phone,192.168.1.125,296
Motog Phone,192.168.1.113,148
Echo Look,192.168.1.154,203965
Nestcam,192.168.1.154,108
Motog Phone,35.186.218.191,2382
Motog Phone,52.35.22.129,40950
Motog Phone,52.35.9.221,18033
Ring Door bell,3.233.102.130,4045644
Google onHub,3.233.102.130,4045752
Motog Phone,192.168.86.21,14282
Motog Phone,192.168.86.20,15096
Motog Phone,34.192.148.57,3927
Motog Phone,52.6.36.6,100155
Motog Phone,99.84.181.7,2194
Motog Phone,52.14.82.58,41675
Motog Phone,54.183.1.78,17981
Motog Phone,54.171.250.15,2181
Motog Phone,52.214.161.218,2113
Motog Phone,52.6.178.180,155221
Motog Phone,13.249.43.83,3096
Motog Phone,3.136.55.143,1993
Motog Phone,151.101.250.2,26288
Motog Phone,54.236.74.161,9464
Motog Phone,3.136.184.13,1717
Motog Phone,3.130.117.225,9330
Motog Phone,34.199.181.134,9532
Motog Phone,224.0.1.187,824
Motog Phone,3.18.49.1,24851
Motog Phone,52.162.110.67,41809
Motog Phone,52.52.85.179,7550
Ring Door bell,3.233.92.117,4621951
Google onHub,3.233.92.117,4622071
Motog Phone,50.18.220.92,5820
Echo plus 2nd gen,52.216.101.203,1079
Motog Phone,34.224.111.88,58755
Motog Phone,3.130.17.121,5847
Motog Phone,3.91.171.234,275111
Motog Phone,52.9.118.81,39463
Motog Phone,99.84.189.100,4285
Motog Phone,52.94.229.122,248903
Motog Phone,54.239.18.66,162246
Motog Phone,99.84.184.27,1438906
Motog Phone,99.84.181.60,3674
Motog Phone,54.239.30.253,134744
Motog Phone,52.94.241.196,26577
Motog Phone,52.218.240.105,2379
Ring Door bell,3.233.105.62,4147212
Google onHub,3.233.105.62,4147322
Echo plus 2nd gen,52.46.141.49,70992
Motog Phone,3.91.171.229,396246
Echo plus 2nd gen,52.46.136.81,7407755
Motog Phone,35.167.164.6,32260
Motog Phone,34.223.180.131,6778
Motog Phone,23.206.176.32,3684
Motog Phone,50.112.162.77,11646
Motog Phone,54.192.30.14,4190
Ring Door bell,3.233.104.81,4154824
Google onHub,3.233.104.81,4154934
Motog Phone,15.164.15.161,7543
Motog Phone,3.91.171.154,169993
Motog Phone,52.79.46.80,6361
Echo plus 2nd gen,54.239.29.0,89438
Echo plus 2nd gen,52.46.132.115,4972565
Motog Phone,35.167.119.85,16287
Ring Door bell,3.233.93.234,4167067
Google onHub,3.233.93.234,4167177
Motog Phone,52.87.79.132,8287
Motog Phone,151.101.201.16,84319
Motog Phone,54.239.31.253,703397
Motog Phone,52.216.20.59,41977
Motog Phone,3.91.171.227,185714
Echo plus 2nd gen,54.239.31.237,3454545
Echo plus 2nd gen,52.216.109.91,1079
Ring Door bell,3.233.86.51,4088537
Google onHub,3.233.86.51,4088645
Motog Phone,3.91.171.216,142128
Ring Door bell,3.233.95.67,4034378
Google onHub,3.233.95.67,4034486
Motog Phone,3.91.171.132,135439
Motog Phone,54.239.29.253,73446
Motog Phone,54.71.191.116,59490
Motog Phone,13.249.43.57,19756
Motog Phone,99.84.181.41,2960
Motog Phone,35.166.139.28,144965
Motog Phone,34.213.248.108,6043
Motog Phone,99.84.181.20,4859
Motog Phone,34.195.196.170,8128
Motog Phone,52.216.99.13,3364
Motog Phone,13.57.145.216,27132
Motog Phone,3.227.250.129,171853
Motog Phone,3.91.171.150,149552
Echo plus 2nd gen,52.216.250.12,2224
Motog Phone,3.91.171.220,226739
Motog Phone,13.249.43.169,22721
Motog Phone,54.192.38.102,614214
Motog Phone,52.218.220.81,2345
Motog Phone,52.217.47.182,2648
Motog Phone,3.91.171.233,483717
Motog Phone,52.216.242.70,6129
Motog Phone,52.216.113.229,3737
Motog Phone,54.210.179.47,14156
Motog Phone,3.91.171.241,77079
Echo plus 2nd gen,52.217.38.116,1618
Motog Phone,52.119.196.87,14257
Echo plus 2nd gen,52.46.145.112,127568
Motog Phone,52.85.150.62,14554
Motog Phone,13.249.45.71,2468701
Motog Phone,3.91.171.153,209276
Echo plus 2nd gen,54.239.26.255,90573
Ring Door bell,3.233.96.42,4109847
Google onHub,3.233.96.42,4109955
Motog Phone,54.192.30.42,2111
Motog Phone,52.46.158.51,32841
Echo plus 2nd gen,224.0.0.22,324
Echo plus 2nd gen,3.234.38.31,90
Echo plus 2nd gen,72.30.35.88,90
Echo plus 2nd gen,52.94.233.94,7513
Ring Door bell,3.233.95.134,4170719
Google onHub,3.233.95.134,4170829
Echo plus 2nd gen,8.8.8.8,243
Echo plus 2nd gen,52.0.154.34,9777
Echo plus 2nd gen,52.85.145.86,1633
Echo plus 2nd gen,54.192.30.60,578
Echo plus 2nd gen,99.84.181.81,589
Motog Phone,3.91.171.239,377747
Motog Phone,34.203.113.241,16103
Motog Phone,205.251.243.55,15079
Motog Phone,52.216.179.69,1905
Motog Phone,52.216.24.126,3996
Motog Phone,3.91.171.240,146887
Motog Phone,35.160.118.204,49943
Motog Phone,54.192.30.13,8295
Motog Phone,54.192.30.115,1273
Motog Phone,44.233.57.8,3600
Motog Phone,54.192.30.74,28228
Motog Phone,54.202.217.210,3374
Ring Door bell,3.233.93.10,4125884
Google onHub,3.233.93.10,4125992
Echo plus 2nd gen,52.216.81.152,1079
Motog Phone,54.69.93.57,42313
Motog Phone,54.175.106.187,18626
Motog Phone,3.91.171.243,71388
Motog Phone,52.94.243.11,220070
Motog Phone,52.203.83.235,4861
Motog Phone,3.91.171.251,351591
Ring Door bell,3.233.106.8,4077101
Google onHub,3.233.106.8,4077211
Motog Phone,52.217.1.94,3451
Ring Door bell,34.227.89.243,3891610
Google onHub,34.227.89.243,1778702
Motog Phone,3.91.171.155,92880
Motog Phone,52.46.131.253,46198
Motog Phone,34.241.162.217,2993
Motog Phone,3.91.171.254,216216
Motog Phone,35.244.242.59,55382
Motog Phone,35.156.43.152,28249
Motog Phone,13.249.47.244,7409
Motog Phone,13.249.46.192,2088
Motog Phone,52.217.41.222,3422
Motog Phone,3.91.171.236,42749
Motog Phone,107.23.222.30,10640
Motog Phone,52.94.227.146,167342
Ring Door bell,3.233.91.211,4027573
Google onHub,3.233.91.211,4027681
LG smart TV,54.69.144.245,57472
LG smart TV,35.163.82.141,7864
Motog Phone,99.84.181.91,2045
LG smart TV,239.255.255.250,495206
LG smart TV,23.32.72.82,606
LG smart TV,3.224.10.144,6380
LG smart TV,34.226.245.15,206
Router,192.168.1.103,75012
LG smart TV,136.166.4.75,69548
LG smart TV,23.221.200.105,63266
LG smart TV,8.8.8.8,25697
Motog Phone,3.91.171.152,196573
LG smart TV,35.160.4.172,366556
LG smart TV,34.210.55.20,65466
LG smart TV,52.94.232.126,6266
LG smart TV,13.249.43.59,3540
LG smart TV,54.71.145.36,43255
LG smart TV,52.46.157.10,38096
LG smart TV,151.101.201.16,28803
LG smart TV,52.72.77.115,38380
LG smart TV,54.85.112.16,18615
LG smart TV,52.218.218.187,4304
LG smart TV,172.217.164.173,37415
LG smart TV,172.217.164.131,56064
LG smart TV,172.217.7.206,5246
LG smart TV,172.217.164.174,219580
Echo plus 2nd gen,52.216.145.27,1079
LG smart TV,172.217.7.170,3473
LG smart TV,99.84.181.9,3668
LG smart TV,34.215.205.184,15699
Motog Phone,52.46.133.216,32727
Motog Phone,35.163.100.246,161628
Motog Phone,35.164.250.186,6513
Motog Phone,52.217.15.142,3375
Motog Phone,3.91.171.221,128083
LG smart TV,34.212.141.131,89258
Ring Door bell,3.233.95.104,4117118
Google onHub,3.233.95.104,4117226
Motog Phone,54.192.30.93,2298
LG smart TV,192.168.1.125,192393
Echo plus 2nd gen,192.168.1.103,5168
Motog Phone,107.23.6.29,2649
Motog Phone,176.32.99.148,10918
Motog Phone,3.91.171.246,116202
Ring Door bell,3.233.102.132,4087970
Google onHub,3.233.102.132,4088078
Echo plus 2nd gen,52.216.140.44,1079
Echo plus 2nd gen,52.94.232.195,79467
LG smart TV,34.217.186.227,5350
Desktop (server),204.85.32.26,5363
Desktop (server),54.192.30.57,3480
Desktop (server),13.249.43.59,29972
Desktop (server),35.169.67.87,487345
Desktop (server),172.217.7.202,38111
Desktop (server),13.249.40.80,13814
Desktop (server),52.39.78.187,7574
Desktop (server),172.217.13.227,28610
Desktop (server),34.213.76.134,9997
Desktop (server),54.192.30.50,3224
Desktop (server),72.21.91.29,32730
Desktop (server),184.26.48.140,18689
Desktop (server),54.192.30.114,134
Desktop (server),54.192.30.15,9500
Desktop (server),34.98.75.36,86620
Desktop (server),54.213.38.240,11616
Desktop (server),99.84.181.73,7774
Ring Door bell,3.233.105.65,4171568
Google onHub,3.233.105.65,4171678
Motog Phone,52.94.240.157,5811
Ring Door bell,3.233.91.194,4070487
Google onHub,3.233.91.194,4070595
Desktop (server),99.84.181.101,5443
LG smart TV,54.200.44.244,15202
Echo plus 2nd gen,52.216.94.243,1079
Desktop (server),52.35.83.137,23088
Ring Door bell,3.233.93.196,4146200
Google onHub,3.233.93.196,4146310
LG smart TV,52.207.205.49,4143
LG smart TV,224.0.0.22,938
LG smart TV,224.0.0.251,374858
Samsung Smartthings hub2,192.168.86.23,40320
Desktop (server),54.192.30.89,23554
Motog Phone,52.94.243.7,44866
Motog Phone,3.91.171.226,273559
Motog Phone,52.46.158.181,226837
Motog Phone,52.216.139.53,1886
Motog Phone,13.249.38.98,6577
LG smart TV,52.201.105.17,14084
Motog Phone,3.91.171.217,166415
Desktop (server),34.208.117.103,5049
Desktop (server),99.84.181.110,4416
Desktop (server),99.84.181.63,4772
Ring Door bell,3.233.97.166,3982396
Google onHub,3.233.97.166,3982504
LG smart TV,54.148.70.121,135351
Ring Door bell,3.233.103.102,4147375
Google onHub,3.233.103.102,4147485
LG smart TV,52.87.201.4,1116
LG smart TV,35.166.64.43,30619
LG smart TV,52.10.65.197,17388
Google onHub,52.10.65.197,7433
LG smart TV,52.35.211.69,15060
Google onHub,52.35.211.69,14946
Google onHub,35.166.64.43,9487
LG smart TV,52.10.130.49,31136
Google onHub,52.10.130.49,9210
LG smart TV,23.193.32.230,289630
Google onHub,23.193.32.230,289048
LG smart TV,34.208.93.173,3488
Google onHub,34.208.93.173,3488
Desktop (server),152.1.1.38,1246
LG smart TV,35.165.92.81,18048
Google onHub,35.165.92.81,9168
LG smart TV,172.217.12.238,583223
Google onHub,172.217.12.238,282041
LG smart TV,172.217.9.206,264983
Google onHub,172.217.9.206,3282
LG smart TV,172.217.8.2,8780
Google onHub,172.217.8.2,8780
LG smart TV,172.217.15.67,22949
LG smart TV,172.217.7.174,569444
Google onHub,172.217.7.174,227294
LG smart TV,172.217.13.246,256254
Google onHub,172.217.13.246,173312
Ring Door bell,3.233.84.225,4009667
Google onHub,3.233.84.225,4009775
LG smart TV,172.217.13.70,18203
Google onHub,172.217.13.70,1904
Motog Phone,3.91.171.235,135563
LG smart TV,172.217.164.129,16358
Google onHub,172.217.164.129,16358
LG smart TV,204.85.30.14,26476457
Google onHub,204.85.30.14,11630294
LG smart TV,172.217.12.225,16621
Google onHub,172.217.12.225,16621
LG smart TV,204.85.30.12,53652707
Google onHub,204.85.30.12,115954
LG smart TV,172.217.7.194,117481
Google onHub,172.217.7.194,19262
LG smart TV,172.217.15.66,59574
Google onHub,172.217.15.66,25148
LG smart TV,23.20.254.219,1911
Google onHub,23.20.254.219,1911
LG smart TV,31.13.66.35,7835
Google onHub,31.13.66.35,5603
Motog Phone,54.209.204.79,1710
LG smart TV,172.217.13.228,13228
Motog Phone,52.119.196.66,6405
Ring Door bell,3.233.91.185,4029976
Google onHub,3.233.91.185,4024745
Motog Phone,52.54.139.202,13842
Motog Phone,3.91.171.232,188669
Motog Phone,52.85.149.25,4623
Motog Phone,52.20.93.182,47640
Motog Phone,151.101.250.219,3607
Motog Phone,172.217.197.155,4433
Desktop (server),54.192.30.94,7287
Desktop (server),99.84.181.33,6797
Motog Phone,172.217.164.163,83846
Motog Phone,172.217.5.225,17133
Echo plus 2nd gen,176.32.98.106,5198
Echo plus 2nd gen,52.216.132.107,485
Ring Door bell,3.233.105.167,3932047
Google onHub,3.233.105.167,3933432
Motog Phone,3.227.250.142,148041
Ring Door bell,3.233.96.204,3932634
Google onHub,3.233.96.204,3935412
Motog Phone,52.94.232.230,75979
Motog Phone,54.239.19.122,11549
Desktop (server),35.161.166.164,9581
Echo plus 2nd gen,34.226.24.249,90
Echo plus 2nd gen,52.46.133.113,2685
Echo plus 2nd gen,99.84.185.13,3200
Echo plus 2nd gen,205.251.243.137,21420
Echo plus 2nd gen,52.216.114.91,2133
Motog Phone,52.94.225.40,3576
Echo plus 2nd gen,54.192.30.55,1625
Echo plus 2nd gen,52.216.140.228,1231963
Echo plus 2nd gen,72.21.207.82,11335
Echo plus 2nd gen,176.32.102.129,3698
Echo plus 2nd gen,13.249.43.30,655
Motog Phone,52.46.158.171,21335
Echo plus 2nd gen,52.217.11.188,12189
Motog Phone,54.239.24.186,9751
Echo plus 2nd gen,52.217.1.244,5051683
Google onHub,192.168.1.125,134704
Echo plus 2nd gen,192.168.86.23,2664
Echo plus 2nd gen,52.216.142.52,240873
Motog Phone,52.218.204.249,1963
Echo plus 2nd gen,52.216.142.68,890497
Motog Phone,52.46.158.64,189658
Echo plus 2nd gen,34.230.211.204,209705
Motog Phone,54.239.23.94,8159
Echo plus 2nd gen,52.216.137.116,1918
Motog Phone,3.91.171.231,341719
Motog Phone,54.187.184.37,5845
Motog Phone,54.149.8.232,10687
Motog Phone,52.217.40.126,3309
LG smart TV,172.217.15.78,245068
Google onHub,172.217.15.78,121290
Ring Door bell,3.233.98.52,4054779
Google onHub,3.233.98.52,4051996
Echo plus 2nd gen,52.217.15.36,1079
Motog Phone,34.193.231.119,2754
LG smart TV,172.217.7.196,2911
Google onHub,172.217.7.196,4347
LG smart TV,204.85.30.13,9373722
Echo plus 2nd gen,52.46.137.70,100641
Motog Phone,3.227.250.247,267528
Echo plus 2nd gen,52.216.20.16,4269
LG smart TV,52.7.130.136,8179
Google onHub,52.7.130.136,7950
LG smart TV,34.210.229.137,20466
Google onHub,54.69.144.245,24053
LG smart TV,34.218.86.80,14363
Google onHub,34.210.229.137,19388
Google onHub,34.218.86.80,6171
LG smart TV,23.62.24.37,606
Google onHub,23.62.24.37,606
Echo plus 2nd gen,52.216.101.91,4999
LG smart TV,52.44.159.190,3882
Google onHub,52.44.159.190,1342
LG smart TV,3.83.1.143,206
Google onHub,3.83.1.143,206
Google onHub,136.166.4.75,14554
Ring Door bell,3.233.104.52,4011725
Google onHub,3.233.104.52,4011833
Motog Phone,72.21.207.190,7463
Motog Phone,34.200.24.115,25442
Motog Phone,54.173.140.178,3332
Motog Phone,99.84.181.3,1936
Motog Phone,18.210.148.117,7551
Motog Phone,52.15.115.169,101626
Motog Phone,99.84.181.8,2922
Motog Phone,52.22.183.98,4160
LG smart TV,192.168.1.154,752368
Google onHub,192.168.1.154,752368
Motog Phone,192.168.86.23,16946
Motog Phone,3.15.125.29,7439
Motog Phone,40.71.13.169,2776
Ring Door bell,3.233.89.14,3993184
Google onHub,3.233.89.14,3993292
Motog Phone,34.192.171.226,5133
Motog Phone,52.8.211.201,7657
Ring Door bell,3.233.88.179,4080529
Google onHub,3.233.88.179,4080639
Echo plus 2nd gen,52.216.102.19,1079
Ring Door bell,3.233.100.146,4007101
Google onHub,3.233.100.146,4007209
Motog Phone,52.52.67.198,12657
Motog Phone,18.208.86.167,102537
Motog Phone,3.17.83.53,12258
Motog Phone,3.91.171.255,51721
Ring Door bell,3.233.91.150,4161106
Google onHub,3.233.91.150,4161216
Ring Door bell,3.233.105.233,4115676
Google onHub,3.233.105.233,4115786
Motog Phone,54.239.27.11,5299
Motog Phone,52.72.134.33,24570
Motog Phone,54.183.150.67,29557
Motog Phone,18.204.110.226,36331
Motog Phone,3.130.21.214,9738
Motog Phone,52.9.109.104,43388
Motog Phone,23.22.34.247,13298
Ring Door bell,3.233.89.0,4144779
Google onHub,3.233.89.0,4144889
Motog Phone,54.239.24.180,4848
LG smart TV,34.211.160.181,9289
Google onHub,34.211.160.181,9313
Ring Door bell,3.233.103.246,8057128
Google onHub,3.233.103.246,8057344
Echo plus 2nd gen,52.216.169.107,1079
Motog Phone,13.249.43.129,12490
Motog Phone,13.249.43.29,32703
Motog Phone,54.192.30.20,6363
Motog Phone,52.3.10.253,3541
Motog Phone,99.84.181.210,5375
Motog Phone,54.192.30.21,31674
Motog Phone,52.9.224.34,3798
Ring Door bell,3.233.104.152,4203780
Google onHub,3.233.104.152,4203890
Motog Phone,52.7.174.129,5493
Motog Phone,52.8.104.221,22205
Motog Phone,107.21.28.209,2181
Motog Phone,52.52.6.49,6326
Ring Door bell,3.233.106.63,4043795
Google onHub,3.233.106.63,4043903
Motog Phone,3.227.250.254,128111
Motog Phone,52.94.242.249,175276
Ring Door bell,3.233.92.248,4069545
Google onHub,3.233.92.248,4069653
Desktop (server),23.221.203.195,397785
Motog Phone,3.91.171.237,113874
Motog Phone,3.91.171.225,237336
Motog Phone,52.216.140.182,2050
Motog Phone,52.216.230.237,791
Motog Phone,52.73.222.126,18303
Motog Phone,3.210.159.184,39434
Motog Phone,158.69.52.117,7341
Motog Phone,52.85.145.40,28404
Motog Phone,157.185.158.55,95264
Motog Phone,172.217.8.8,18961
Motog Phone,3.133.28.6,14249
Motog Phone,13.249.43.122,2917
Motog Phone,34.204.184.98,11699
Motog Phone,172.217.197.157,7918
Echo plus 2nd gen,52.216.142.92,1079
Motog Phone,54.241.146.206,2929
Motog Phone,52.8.242.44,6180
Motog Phone,34.197.208.157,41842
Motog Phone,52.216.233.221,3415
Ring Door bell,3.233.87.15,4141832
Google onHub,3.233.87.15,4141942
Motog Phone,52.202.57.163,6058
Echo Look,54.239.29.0,71587
Echo Look,52.94.236.194,16405
Echo Look,52.217.42.244,8077050
Motog Phone,52.218.128.21,1982
Ring Door bell,3.233.96.206,5269560
Google onHub,3.233.96.206,5269696
Motog Phone,35.244.133.191,102324
Motog Phone,35.201.70.64,56855
Motog Phone,172.217.9.193,7658
Motog Phone,54.243.186.181,2504
Motog Phone,172.217.7.200,12437
Motog Phone,54.85.85.145,1788
Motog Phone,23.21.126.169,8067
Motog Phone,3.93.162.102,235218
Motog Phone,35.232.242.251,54035
Motog Phone,34.232.227.150,5760
Echo plus 2nd gen,52.216.108.27,1079
Motog Phone,35.186.214.215,52150
Motog Phone,23.23.106.129,4921
Motog Phone,35.241.20.76,7408
Motog Phone,172.217.13.230,2616
Motog Phone,99.84.181.21,2118
Motog Phone,54.192.30.4,4580
Motog Phone,172.217.197.92,2832
Motog Phone,52.119.197.116,389031
Motog Phone,3.91.171.219,134217
Motog Phone,104.96.220.56,2762
Motog Phone,52.218.225.73,2381
Motog Phone,3.91.171.213,176776
Motog Phone,52.86.212.247,3476
Motog Phone,13.249.43.37,1936
Motog Phone,151.101.202.2,7167
Motog Phone,3.18.90.210,25742
Motog Phone,54.183.109.147,11309
Motog Phone,99.84.181.94,4959
Motog Phone,52.200.91.14,1969
Ring Door bell,54.85.105.171,20573
Google onHub,54.85.105.171,19753
Ring Door bell,3.233.93.150,5362277
Google onHub,3.233.93.150,5362417
Motog Phone,52.20.159.118,83156
Motog Phone,52.94.235.50,129785
Motog Phone,54.225.216.137,2460
Motog Phone,13.249.38.61,4029
Motog Phone,13.249.43.101,58701
Ring Door bell,3.233.94.112,4056907
Google onHub,3.233.94.112,4057017
Motog Phone,52.45.88.25,21509
Motog Phone,52.218.244.152,2670
Motog Phone,13.249.43.27,23343
Motog Phone,23.227.38.64,6142
Motog Phone,99.84.181.27,19048
Motog Phone,35.186.249.46,19388
Motog Phone,13.249.43.17,9765
Motog Phone,54.192.30.83,29508
Motog Phone,104.17.65.4,1087
Ring Door bell,3.233.96.234,1290443
Google onHub,3.233.96.234,1290487
Motog Phone,3.233.96.234,133384
Ring Door bell,3.233.84.198,4085684
Google onHub,3.233.84.198,4085792
Motog Phone,172.217.13.65,15648
Motog Phone,172.217.7.129,27740
Motog Phone,172.217.15.97,20889
Motog Phone,13.249.43.67,3666
Motog Phone,104.17.64.4,3216
Ring Door bell,3.233.105.113,4112686
Google onHub,3.233.105.113,4112796
Ring Door bell,3.233.104.210,4576255
Google onHub,3.233.104.210,4576375
Motog Phone,35.171.173.66,16950
Motog Phone,54.239.22.79,52405
Motog Phone,13.249.43.6,18666
Motog Phone,54.209.20.116,10048
Ring Door bell,3.233.92.210,3992752
Google onHub,3.233.92.210,3992846
Motog Phone,35.168.201.115,1556
Motog Phone,54.243.219.198,2537
Motog Phone,107.23.28.25,4818
Motog Phone,172.217.161.195,7438
Ring Door bell,3.233.102.74,4103959
Google onHub,3.233.102.74,4104067
Motog Phone,13.249.43.47,8694
Motog Phone,3.91.171.142,252525
Motog Phone,52.218.245.169,1919
Motog Phone,13.249.43.58,1050
Motog Phone,54.192.38.106,1104
Echo plus 2nd gen,52.217.1.188,1079
Desktop (server),44.230.54.12,6273
Desktop (server),13.249.43.83,12718
Motog Phone,52.94.228.85,15104
Motog Phone,3.91.171.151,72623
Motog Phone,52.216.139.69,5901
Motog Phone,34.198.115.132,2455
Motog Phone,99.84.181.73,4283
Motog Phone,52.202.106.32,8386
Motog Phone,172.217.197.156,2939
Motog Phone,52.216.65.99,3349
Ring Door bell,3.233.105.72,4079029
Google onHub,3.233.105.72,4079137
Motog Phone,52.119.196.32,70684
Motog Phone,52.22.133.24,11563
Ring Door bell,3.233.84.193,4049147
Google onHub,3.233.84.193,4049255
LG smart TV,44.224.180.130,17315
Google onHub,44.224.180.130,15057
Google onHub,34.212.141.131,20696
LG smart TV,35.171.201.109,1330
Google onHub,35.171.201.109,1342
LG smart TV,54.198.229.1,272
Google onHub,54.198.229.1,206
Motog Phone,52.119.196.155,24209
Google onHub,35.160.4.172,87139
Google onHub,52.46.157.10,2515
Echo plus 2nd gen,52.216.76.172,2158
LG smart TV,54.68.14.38,68945
Google onHub,54.68.14.38,8243
LG smart TV,172.217.13.226,26678
Google onHub,172.217.13.226,23309
LG smart TV,172.217.15.102,16989
Google onHub,172.217.15.102,16989
LG smart TV,172.217.13.66,165466
Google onHub,172.217.13.66,19966
Desktop (server),54.70.228.208,34452
LG smart TV,35.160.212.227,39053
Google onHub,35.160.212.227,5708
LG smart TV,52.33.52.239,45095
Google onHub,52.33.52.239,7060
LG smart TV,99.86.230.48,1443
Google onHub,99.86.230.48,1443
Google onHub,54.200.44.244,4586
LG smart TV,99.84.216.23,4634
Google onHub,99.84.216.23,4634
LG smart TV,3.218.7.59,3441
Google onHub,3.218.7.59,3441
LG smart TV,204.85.32.32,3088
Google onHub,204.85.32.32,3100
LG smart TV,204.85.32.25,10101
Google onHub,204.85.32.25,10101
LG smart TV,151.101.193.67,1178
Google onHub,151.101.193.67,1178
LG smart TV,151.101.1.67,62006
Google onHub,151.101.1.67,61964
LG smart TV,172.217.7.131,7783
Google onHub,172.217.7.131,7783
LG smart TV,99.84.214.200,6338
Google onHub,99.84.214.200,6338
LG smart TV,74.119.119.131,3299
Google onHub,74.119.119.131,3299
LG smart TV,152.195.33.69,9280
LG smart TV,3.234.31.129,3962
Google onHub,152.195.33.69,9862
Google onHub,3.234.31.129,3962
LG smart TV,23.54.179.184,8648
Google onHub,23.54.179.184,8684
LG smart TV,23.218.37.94,15325
Google onHub,23.218.37.94,15325
LG smart TV,104.16.89.20,2228
Google onHub,104.16.89.20,2342
LG smart TV,104.20.185.68,2413
Google onHub,104.20.185.68,2509
LG smart TV,23.67.93.211,2049
Google onHub,23.67.93.211,2061
LG smart TV,94.237.48.90,2018
Google onHub,94.237.48.90,2018
LG smart TV,3.85.156.193,2024
Google onHub,3.85.156.193,2024
LG smart TV,23.54.177.167,13701
LG smart TV,99.84.102.90,2346
Google onHub,23.54.177.167,13671
Google onHub,99.84.102.90,2346
LG smart TV,151.101.2.133,7559
Google onHub,151.101.2.133,7571
LG smart TV,104.100.17.163,3111
Google onHub,104.100.17.163,3111
LG smart TV,35.172.145.240,4752
Google onHub,35.172.145.240,4686
LG smart TV,52.200.7.105,4401
Google onHub,52.200.7.105,4401
LG smart TV,204.79.197.200,2505
Google onHub,204.79.197.200,2601
LG smart TV,34.107.156.205,4547
LG smart TV,99.84.223.87,2789
Google onHub,34.107.156.205,4547
Google onHub,99.84.223.87,2789
LG smart TV,199.232.64.157,2264
Google onHub,199.232.64.157,2276
LG smart TV,104.26.3.116,2831
Google onHub,104.26.3.116,2993
LG smart TV,99.84.216.65,3333
Google onHub,99.84.216.65,3333
LG smart TV,99.86.224.81,3807
Google onHub,99.86.224.81,3807
LG smart TV,54.239.17.112,6371
Google onHub,54.239.17.112,6557
LG smart TV,52.202.248.184,2196
Google onHub,52.202.248.184,2196
LG smart TV,35.190.72.21,4116
Google onHub,35.190.72.21,4116
LG smart TV,34.224.172.188,2603
Google onHub,34.224.172.188,2603
LG smart TV,50.31.142.63,1457
Google onHub,50.31.142.63,1457
LG smart TV,64.74.236.31,19256
Google onHub,64.74.236.31,17342
LG smart TV,99.86.230.123,3839
Google onHub,99.86.230.123,3839
LG smart TV,104.17.65.4,2258
Google onHub,104.17.65.4,2378
LG smart TV,151.101.248.64,2725
Google onHub,151.101.248.64,2737
Ring Door bell,3.233.97.14,4068867
Google onHub,3.233.97.14,4081773
LG smart TV,34.206.39.111,1722
Google onHub,34.206.39.111,1722
LG smart TV,68.67.179.133,7593
Google onHub,68.67.179.133,7593
LG smart TV,8.43.72.113,8309
Google onHub,8.43.72.113,8309
LG smart TV,74.119.119.151,6038
Google onHub,74.119.119.151,6038
LG smart TV,151.101.2.202,2458
Google onHub,151.101.2.202,2470
LG smart TV,34.98.72.95,5190
Google onHub,34.98.72.95,5190
LG smart TV,104.244.42.5,2779
Google onHub,104.244.42.5,2791
LG smart TV,151.101.0.175,2796
Google onHub,151.101.0.175,2808
LG smart TV,50.31.142.31,1652
